product_id, review
100, "Good product"
100, "Ok product"
100, "Yes good"
200, "Bad product"
200, "Don't like it at all"
200, "It's alright\, ig"
300, "Good product"
300, "Ok product"
300, "Yes good"
400, "Bad product"
400, "Don't like it at all"
400, "It's alright\, ig"
500, "Good product"
500, "Ok product"
500, "Yes good"
600, "Bad product"
600, "Don't like it at all"
600, "It's alright\, ig"
700, "Good product"
700, "Ok product"
700, "Yes good"
800, "Bad product"
800, "Don't like it at all"
800, "It's alright\, ig"
